University 1 1,Lon,Place,Country,lat
Australian Catholic University,153.089464740851, Banyo, Australia,-27.37815905
Australian National University,149.116778864645, Canberra, Australia,-35.28121335
Bond University,153.416848711683, Robina, Australia,-28.073868
Central Queensland University,153.0242227, Brisbane City, Australia,-27.467384
Charles Darwin University,130.868400262302, Darwin, Australia,-12.3713128
Charles Sturt University,147.3552234,Charles Sturt University, Australia,-35.0636071
Curtin University,115.892864389257, Karawara, Australia,-32.00574155
Deakin University,144.300932902851, City of Greater Geelong, Australia,-38.2004183
Edith Cowan University,115.869121501032, Menora, Australia,-31.9192816
Federation University Australia,142.185245721756, Rural City of Horsham, Australia,-36.7123337
Flinders University,138.573433050561, Bedford Park, Australia,-35.02486815
Griffith University,153.064292225483, Mount Gravatt, Australia,-27.54662495
James Cook University,103.829054593398, Thomson, Singapore,1.3749872
La Trobe University,142.166661369224, Rural City of Mildura, Australia,-34.20552165
Macquarie University,151.1181983, Sydney, Australia,-33.77741365
Monash University,144.958674326093, Parkville, Australia,-37.78397455
Murdoch University,115.833500853777, Murdoch, Australia,-32.07161405
Queensland University of Technology,153.028410039129, South Brisbane, Australia,-27.47715625
RMIT University,144.9638875, Melbourne City, Australia,-37.8087465
Southern Cross University,153.300537075398, East Lismore, Australia,-28.8188635
